Date,Price,Open,High,Low,Vol.,Change %,50_days_MA,200_days_MA,365_days_MA,500_days_MA
2020-01-20,195.0,198.0,201.45,194.3,28.98M,-1.17%,138.154,117.73899999999999,189.1713698630137,246.7177
2020-01-17,197.3,197.25,199.45,195.7,18.20M,-0.13%,140.737,118.046,188.84315068493152,246.08089999999999
2020-01-16,197.55,199.5,200.6,196.9,28.12M,-1.40%,143.274,118.36325,188.51616438356166,245.4343
2020-01-15,200.35,195.0,201.7,194.0,38.49M,2.30%,145.865,118.70075000000001,188.11684931506846,244.8134
2020-01-14,195.85,195.7,198.25,193.6,29.87M,-0.20%,148.377,119.01674999999999,187.70849315068494,244.1551
2020-01-13,196.25,194.75,197.75,191.4,40.54M,-0.05%,150.931,119.33850000000001,187.30301369863017,243.5278
2020-10-01,196.35,192.0,199.0,190.0,60.25M,2.27%,153.53400000000002,119.64625,186.91054794520545,242.89659999999998
2020-09-01,192.0,184.85,192.75,184.25,40.80M,5.18%,155.828,119.928,186.5008219178082,242.26609999999997
2020-08-01,182.55,180.2,184.2,180.2,21.86M,-1.16%,158.02,120.17225,186.0617808219178,241.6286
2020-07-01,184.7,187.0,189.4,182.3,35.00M,-0.51%,160.204,120.41075,185.63726027397257,240.99059999999997
2020-06-01,185.65,191.0,191.0,185.05,28.62M,-2.85%,162.358,120.6715,185.22904109589044,240.38070000000002
2020-03-01,191.1,192.9,195.65,189.25,47.57M,-1.37%,164.521,120.97574999999999,184.83410958904108,239.78519999999997
2020-02-01,193.75,185.0,194.7,184.6,57.29M,5.04%,166.601,121.29625,184.43917808219175,239.1932
2020-01-01,184.45,185.15,186.7,183.6,25.97M,-0.38%,168.53,121.57725,184.02863013698632,238.58290000000002
2019-12-31,185.15,184.0,187.9,181.55,52.87M,0.79%,170.255,121.86425000000001,183.61150684931505,237.958
2019-12-30,183.7,177.2,184.35,176.3,40.95M,4.29%,171.815,122.14800000000001,183.16780821917808,237.3606
2019-12-27,176.15,176.0,176.95,174.85,12.10M,0.89%,173.054,122.37525,182.6932876712329,236.7721
2019-12-26,174.6,175.9,176.45,174.1,18.79M,-0.51%,174.03100000000003,122.57775000000001,182.2053424657534,236.1693
2019-12-24,175.5,177.65,178.0,174.65,20.56M,-0.31%,175.017,122.77575,181.7109589041096,235.5599
2019-12-23,176.05,176.85,179.0,174.15,27.19M,0.06%,175.93099999999998,122.96375,181.2323287671233,234.96970000000002
2019-12-20,175.95,180.4,181.7,174.85,48.82M,-1.79%,176.942,123.13875,180.76986301369863,234.38639999999998
2019-12-19,179.15,174.65,180.2,174.0,53.47M,2.49%,177.946,123.3295,180.32000000000002,233.8
2019-12-18,174.8,182.1,184.5,170.45,63.86M,-3.00%,178.53699999999998,123.47974999999998,179.83246575342463,233.2086
2019-12-17,180.2,176.0,181.15,175.35,38.21M,3.00%,179.25,123.71125,179.37958904109587,232.66180000000003
2019-12-16,174.95,177.0,178.8,173.35,26.25M,-0.99%,179.75100000000003,123.91850000000001,178.94123287671235,232.1176
2019-12-13,176.7,177.25,183.95,175.5,93.02M,1.93%,180.27200000000002,124.13550000000001,178.5331506849315,231.5306
2019-12-12,173.35,163.45,174.9,162.5,66.14M,7.14%,180.56900000000002,124.34375,178.1231506849315,230.8934
2019-11-12,161.8,160.4,163.0,157.4,21.15M,1.31%,180.64399999999998,124.48849999999999,177.69493150684931,230.23369999999997
2019-10-12,159.7,162.15,163.25,159.05,26.26M,-0.50%,180.606,124.65074999999999,177.25917808219177,229.57430000000002
2019-09-12,160.5,162.0,166.45,159.75,30.92M,-0.62%,180.43400000000003,124.83924999999999,176.82561643835615,228.90460000000002
2019-06-12,161.5,167.0,168.0,160.05,27.73M,-2.77%,180.282,124.98975,176.39520547945204,228.23870000000002
2019-05-12,166.1,170.35,172.2,165.2,31.79M,-1.95%,180.21400000000003,125.15475,175.9858904109589,227.583
2019-04-12,169.4,158.5,170.35,157.7,72.08M,7.08%,180.183,125.3145,175.586301369863,226.934
2019-03-12,158.2,162.95,162.95,157.4,21.16M,-1.77%,179.95199999999997,125.366,175.16534246575344,226.28680000000003
2019-02-12,161.05,160.95,163.0,158.95,19.44M,-0.28%,179.795,125.43299999999999,174.74876712328765,225.6745
2019-11-29,161.5,164.8,167.75,160.6,20.01M,-2.00%,179.553,125.48324999999998,174.3482191780822,225.03730000000002
2019-11-28,164.8,165.75,166.3,163.55,16.61M,-0.66%,179.27199999999996,125.56524999999999,173.9382191780822,224.40869999999998
2019-11-27,165.9,165.3,169.3,165.0,29.53M,1.53%,178.915,125.652,173.48191780821918,223.79
2019-11-26,163.4,166.65,167.3,162.55,25.52M,-1.63%,178.86900000000003,125.7475,173.04986301369863,223.1996
2019-11-25,166.1,160.7,166.6,159.9,26.13M,2.31%,178.91400000000002,125.86149999999999,172.64945205479452,222.6089
2019-11-22,162.35,164.9,165.25,160.55,21.20M,-1.10%,178.849,125.97274999999999,172.20109589041095,222.01319999999998
2019-11-21,164.15,166.95,170.1,163.0,21.61M,-1.94%,178.6,126.08200000000001,171.78630136986303,221.356
2019-11-20,167.4,167.75,170.2,166.2,19.50M,-0.21%,178.22400000000002,126.17200000000001,171.38232876712328,220.7135
2019-11-19,167.75,170.8,171.75,167.1,19.60M,-1.38%,177.81799999999998,126.27175000000001,171.01246575342464,220.058
2019-11-18,170.1,172.1,172.1,169.25,19.05M,0.92%,177.69800000000004,126.363,170.65315068493152,219.426
2019-11-15,168.55,169.0,173.4,167.35,29.61M,0.90%,177.425,126.45424999999999,170.316301369863,218.74370000000002
2019-11-14,167.05,170.2,170.3,165.5,25.43M,-2.08%,177.03599999999997,126.5705,169.9809589041096,218.0175
2019-11-13,170.6,171.5,176.0,169.4,33.93M,-0.81%,176.68,126.7075,169.64561643835617,217.3206
2019-11-11,172.0,169.2,172.95,169.05,22.19M,1.75%,176.408,126.8535,169.3117808219178,216.65370000000001
2019-08-11,169.05,170.75,178.9,167.8,39.10M,-1.43%,175.961,126.9775,168.94780821917809,215.9777
2019-07-11,171.5,174.7,174.7,167.6,38.63M,-1.72%,175.491,127.1455,168.5795890410959,215.31380000000001
2019-06-11,174.5,172.0,176.35,170.5,28.92M,1.45%,175.035,127.3825,168.23164383561644,214.64130000000003
2019-05-11,172.0,173.25,175.75,169.95,36.27M,-0.12%,174.524,127.6365,167.89356164383562,213.966
2019-04-11,172.2,171.6,178.45,170.85,40.64M,-1.63%,173.96099999999998,127.89300000000001,167.55986301369862,213.3076
2019-01-11,175.05,175.2,178.0,172.4,40.61M,-1.49%,173.545,128.15975,167.23246575342466,212.6783
2019-10-31,177.7,169.8,179.65,168.95,81.39M,3.37%,173.17399999999998,128.4225,166.9027397260274,212.0639
2019-10-30,171.9,175.0,175.65,166.55,90.76M,-0.32%,172.685,128.654,166.54794520547946,211.432
2019-10-29,172.45,151.9,175.5,151.2,184.44M,16.76%,172.294,128.8985,166.17109589041095,210.8055
2019-10-27,147.7,147.7,147.7,147.7,,16.44%,171.597,129.014,165.74424657534246,210.1335
2019-10-25,126.85,132.0,133.0,125.7,42.87M,-4.98%,170.44,128.9925,165.26205479452057,209.4251
2019-10-24,133.5,133.0,135.15,130.5,41.95M,0.64%,169.39699999999996,129.03324999999998,164.8427397260274,208.69629999999998
2019-10-23,132.65,130.45,133.8,127.25,50.29M,0.68%,168.22800000000004,129.085,164.33438356164385,207.94430000000003
2019-10-22,131.75,133.35,135.6,129.8,53.53M,-3.73%,166.98800000000003,129.1245,163.83520547945207,207.248
2019-10-18,136.85,139.0,141.8,135.6,64.88M,-1.90%,166.03599999999997,129.21325,163.3668493150685,206.5399
2019-10-17,139.5,127.1,144.35,125.1,67.93M,10.85%,165.123,129.32675,162.9058904109589,205.8029
2019-10-16,125.85,127.3,128.3,124.5,31.52M,-0.87%,163.966,129.379,162.4149315068493,205.08079999999998
2019-10-15,126.95,127.1,128.9,123.7,57.55M,-0.70%,162.982,129.4565,161.91958904109586,204.3709
2019-10-14,127.85,122.6,130.0,122.5,68.05M,5.40%,162.047,129.5305,161.44301369863015,203.60739999999998
2019-11-10,121.3,118.05,122.2,117.25,41.03M,3.85%,160.96300000000002,129.61375,160.96150684931507,202.8548
2019-10-10,116.8,119.3,119.7,116.2,31.23M,-3.39%,159.77800000000002,129.6795,160.46945205479452,202.07459999999998
2019-09-10,120.9,118.5,121.7,115.45,44.67M,2.89%,158.67700000000002,129.75525,160.01835616438356,201.4747
